brand,brand_url,model,repair_type,price,timestamp,repair_type_matched,source_score,device_name,device_clean,repair_name,repair_clean,device_score,repair_score,price_clean,median_price,is_outlier,match_score,final_score,device_standard,repair_standard
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Batterie,79.9,2026-04-05T12:01:43+00:00,True,0.5,apple iphone 15 plus,apple iphone 15 plus,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 15 plus,battery
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Appareil photo avant,79.9,2026-04-05T12:01:43+00:00,True,0.5,apple iphone 15 plus,apple iphone 15 plus,appareil photo avant,appareil photo avant,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 15 plus,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Caméra Arriére iPhone 15 Plus,99.9,2026-04-05T12:01:43+00:00,False,0.5,apple iphone 15 plus,apple iphone 15 plus,camera,camera,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 15 plus,camera
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Ecouteur,59.9,2026-04-05T12:01:43+00:00,True,0.5,apple iphone 15 plus,apple iphone 15 plus,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 plus,ecouteur
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Haut parleur,59.9,2026-04-05T12:01:43+00:00,True,0.5,apple iphone 15 plus,apple iphone 15 plus,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 plus,haut parleur
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Micro,59.9,2026-04-05T12:01:43+00:00,True,0.5,apple iphone 15 plus,apple iphone 15 plus,micro,micro,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 plus,micro
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Connecteur de charge,99.9,2026-04-05T12:01:43+00:00,True,0.5,apple iphone 15 plus,apple iphone 15 plus,connecteur de charge,connecteur de charge,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 15 plus,connecteur de charge
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Module Afficheur iPhone 15,169.9,2026-04-05T12:01:58+00:00,False,0.5,apple iphone 15,apple iphone 15,module afficheur iphone 15,module afficheur iphone 15,1.0,1.0,169.9,59.9,True,1.3,0.0,apple iphone 15,module afficheur iphone 15
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Batterie,79.9,2026-04-05T12:01:58+00:00,True,0.5,apple iphone 15,apple iphone 15,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 15,battery
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Appareil photo avant,89.9,2026-04-05T12:01:58+00:00,True,0.5,apple iphone 15,apple iphone 15,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 15,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Caméra Arriére iPhone 15,99.9,2026-04-05T12:01:58+00:00,False,0.5,apple iphone 15,apple iphone 15,camera,camera,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 15,camera
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Ecouteur,59.9,2026-04-05T12:01:58+00:00,True,0.5,apple iphone 15,apple iphone 15,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15,ecouteur
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Haut parleur,59.9,2026-04-05T12:01:58+00:00,True,0.5,apple iphone 15,apple iphone 15,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15,haut parleur
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Micro,59.9,2026-04-05T12:01:58+00:00,True,0.5,apple iphone 15,apple iphone 15,micro,micro,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15,micro
Apple,https://save.co/reparation/apple/iphone-15?shop=DT060,IPHONE 15,Connecteur de charge,99.9,2026-04-05T12:01:58+00:00,True,0.5,apple iphone 15,apple iphone 15,connecteur de charge,connecteur de charge,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 15,connecteur de charge
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Module Afficheur iPhone 14 Pro Max,189.9,2026-04-05T12:02:15+00:00,False,0.5,apple iphone 14 pro max,apple iphone 14 pro max,module afficheur iphone 14 pro max,module afficheur iphone 14 pro max,1.0,1.0,189.9,59.9,True,1.3,0.0,apple iphone 14 pro max,module afficheur iphone 14 pro max
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Batterie,79.9,2026-04-05T12:02:15+00:00,True,0.5,apple iphone 14 pro max,apple iphone 14 pro max,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 14 pro max,battery
Apple,https://save.co/reparation/apple/iphone-14-pro-max?shop=DT060,IPHONE 14 PRO MAX,Appareil photo avant,89.9,2026-04-05T12:02:15+00:00,True,0.5,apple iphone 14 pro max,apple iphone 14 pro max,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 14 pro max,appareil photo avant
