brand,brand_url,model,repair_type,price,timestamp,repair_type_matched
Apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,IPHONE 13 PRO,Haut parleur,49.9,2026-04-05T12:07:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-13?shop=DT060,IPHONE 13,Ecran iPhone 13,129.9,2026-04-05T12:07:42+00:00,False
Apple,https://save.co/reparation/apple/iphone-13?shop=DT060,IPHONE 13,Batterie,69.9,2026-04-05T12:07:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-13?shop=DT060,IPHONE 13,Caméra Arriére,59.9,2026-04-05T12:07:42+00:00,False
Apple,https://save.co/reparation/apple/iphone-13?shop=DT060,IPHONE 13,Caméra Frontale,49.9,2026-04-05T12:07:42+00:00,False
Apple,https://save.co/reparation/apple/iphone-13?shop=DT060,IPHONE 13,Connecteur de charge,79.9,2026-04-05T12:07:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-13?shop=DT060,IPHONE 13,Ecouteur,49.9,2026-04-05T12:07:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-13?shop=DT060,IPHONE 13,Haut parleur,39.9,2026-04-05T12:07:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,IPHONE 13 MINI,Ecran iPhone 13 mini,129.9,2026-04-05T12:07:59+00:00,False
Apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,IPHONE 13 MINI,Batterie,69.9,2026-04-05T12:07:59+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,IPHONE 13 MINI,Caméra Arriére,59.9,2026-04-05T12:07:59+00:00,False
Apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,IPHONE 13 MINI,Caméra Frontale,49.9,2026-04-05T12:07:59+00:00,False
Apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,IPHONE 13 MINI,Connecteur de charge,89.9,2026-04-05T12:07:59+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,IPHONE 13 MINI,Ecouteur,39.9,2026-04-05T12:07:59+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,IPHONE 13 MINI,Haut parleur,39.9,2026-04-05T12:07:59+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Module Afficheur Refurb,319.9,2026-04-05T12:08:10+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Batterie,79.9,2026-04-05T12:08:10+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Connecteur de charge,79.9,2026-04-05T12:08:10+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Caméra Frontale,99.9,2026-04-05T12:08:10+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Façade arrière,129.9,2026-04-05T12:08:10+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Ecouteur,39.9,2026-04-05T12:08:10+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Haut parleur,49.9,2026-04-05T12:08:10+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Diagnostique,19.9,2026-04-05T12:08:10+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Désoxydation Galaxy A8 2018,79.9,2026-04-05T12:08:10+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,IPHONE 12 PRO MAX,Mise à jour logiciel Lumia 535,39.9,2026-04-05T12:08:10+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Module Afficheur Refurb,239.9,2026-04-05T12:08:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Batterie,39.9,2026-04-05T12:08:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Connecteur de charge,39.9,2026-04-05T12:08:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Caméra Frontale,39.9,2026-04-05T12:08:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Façade arrière,129.9,2026-04-05T12:08:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Haut parleur,49.9,2026-04-05T12:08:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Ecouteur,39.9,2026-04-05T12:08:27+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Diagnostique,19.9,2026-04-05T12:08:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Désoxydation Galaxy A8 2018,79.9,2026-04-05T12:08:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,IPHONE 12 PRO,Mise à jour logiciel Lumia 535,39.9,2026-04-05T12:08:27+00:00,False
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Module Afficheur Compatible,359.9,2026-04-05T12:08:49+00:00,False
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Batterie,39.9,2026-04-05T12:08:49+00:00,True
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Connecteur de charge,39.9,2026-04-05T12:08:49+00:00,True
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Caméra Frontale,39.9,2026-04-05T12:08:49+00:00,False
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Appareil photo arrière,79.9,2026-04-05T12:08:49+00:00,True
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Ecouteur,59.9,2026-04-05T12:08:49+00:00,True
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Haut parleur,49.9,2026-04-05T12:08:49+00:00,True
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Diagnostique,19.9,2026-04-05T12:08:49+00:00,False
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Désoxydation Galaxy A8 2018,79.9,2026-04-05T12:08:49+00:00,False
Apple,https://save.co/reparation/apple/iphone-12?shop=DT060,IPHONE 12,Mise à jour logiciel Lumia 535,39.9,2026-04-05T12:08:49+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Module Afficheur Refurb,229.9,2026-04-05T12:09:12+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Batterie,39.9,2026-04-05T12:09:12+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Connecteur de charge,39.9,2026-04-05T12:09:12+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Caméra Frontale,39.9,2026-04-05T12:09:12+00:00,False
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Appareil photo arrière,99.9,2026-04-05T12:09:12+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Ecouteur,39.9,2026-04-05T12:09:12+00:00,True
Apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,IPHONE 12 MINI,Haut parleur,49.9,2026-04-05T12:09:12+00:00,True
