brand,brand_url,model,repair_type,repair_name,price,repair_name_clean
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,44.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,44.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Ecouteur-10%,44.91,ecouteur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,44.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Façade arrière-10%,35.91,faade arrire10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.1,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.1,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Haut parleur-10%,35.1,haut parleur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-poco-x3-pro-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.1,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
