title,url,price,image
Samsung Galaxy C10,Samsung Galaxy C10,"4|1|Reviews|Rs 65,000",https://images.priceoye.pk/samsung-galaxy-c10-pakistan-priceoye-5g4qz-100x100.webp
Samsung Galaxy S9 Active,Samsung Galaxy S9 Active,"3.6|9|Reviews|Rs 91,000",https://images.priceoye.pk/samsung-galaxy-s9-active-pakistan-priceoye-r7a2r-100x100.webp
Samsung Galaxy A8s,Samsung Galaxy A8s,"3.6|27|Reviews|Rs 73,999",https://images.priceoye.pk/samsung-galaxy-a8s-pakistan-priceoye-yd3h3-100x100.webp
Samsung Galaxy S10 plus Exynos,Samsung Galaxy S10 plus Exynos,"Rs 219,999",https://images.priceoye.pk/samsung-galaxy-s10-plus-exynos-pakistan-priceoye-yemoi-100x100.webp
Samsung Galaxy S10e SD855,Samsung Galaxy S10e SD855,"Rs 125,000",https://images.priceoye.pk/samsung-galaxy-s10e-sd855-pakistan-priceoye-v9ovu-100x100.webp
Samsung Galaxy J2 Pro (2019),Samsung Galaxy J2 Pro (2019),"Rs 26,999",https://images.priceoye.pk/samsung-galaxy-j2-pro-2019-pakistan-priceoye-yvjvq-100x100.webp
Samsung Galaxy Note 10 Plus Exynos,Samsung Galaxy Note 10 Plus Exynos,"Rs 195,999",https://images.priceoye.pk/samsung-galaxy-note-10-plus-exynos-pakistan-priceoye-ak6yp-100x100.webp
Samsung Galaxy Note10 Plus SD855,Samsung Galaxy Note10 Plus SD855,"Rs 195,999",https://images.priceoye.pk/samsung-galaxy-note10-plus-sd855-pakistan-priceoye-ua0wm-100x100.webp
Samsung Galaxy S10 Exynos,Samsung Galaxy S10 Exynos,"Rs 139,999",https://images.priceoye.pk/samsung-galaxy-s10-exynos-pakistan-priceoye-u1ijx-100x100.webp
Samsung Galaxy S8 Lite,Samsung Galaxy S8 Lite,"Rs 73,999",https://images.priceoye.pk/samsung-galaxy-s8-lite-pakistan-priceoye-2s4f0-100x100.webp
