brand,brand_url,model,repair_type,price,source,part_name,date_Of_Scrapping
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,ecran lcd,35.91,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,50.32,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,50.32,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,50.32,www.phoneandcbd.com,Ecran LCD-14%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,batterie,50.32,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,60.11,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,60.11,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,60.11,www.phoneandcbd.com,Batterie-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,batterie,60.11,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,34.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,34.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,34.74,www.phoneandcbd.com,Vibreur-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,batterie,34.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,35.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,35.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,35.91,www.phoneandcbd.com,Vitre tactile-16%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,batterie,35.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,50.32,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,50.32,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,50.32,www.phoneandcbd.com,Ecran LCD-14%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,vibreur,50.32,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,60.11,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,60.11,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,60.11,www.phoneandcbd.com,Batterie-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,vibreur,60.11,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,34.74,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,34.74,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,34.74,www.phoneandcbd.com,Vibreur-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,vibreur,34.74,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,35.91,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,35.91,www.phoneandcbd.com,Vibreur,05-04-2026
samsung,www.phoneandcbd.com,samsung,vibreur,35.91,www.phoneandcbd.com,Vitre tactile-16%,05-04-2026
