brand,brand_url,model,repair_type,price,date_Of_Scrapping,repair_type_matched
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,caméra frontale,39.9,2026-04-05T12:08:27+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,façade arrière,129.9,2026-04-05T12:08:27+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,haut parleur,49.9,2026-04-05T12:08:27+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,ecouteur,39.9,2026-04-05T12:08:27+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,diagnostique,19.9,2026-04-05T12:08:27+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,désoxydation galaxy a8 2018,79.9,2026-04-05T12:08:27+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,mise à jour logiciel lumia 535,39.9,2026-04-05T12:08:27+00:00,False
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,module afficheur compatible,359.9,2026-04-05T12:08:49+00:00,False
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,batterie,39.9,2026-04-05T12:08:49+00:00,True
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,connecteur de charge,39.9,2026-04-05T12:08:49+00:00,True
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,caméra frontale,39.9,2026-04-05T12:08:49+00:00,False
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,appareil photo arrière,79.9,2026-04-05T12:08:49+00:00,True
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,ecouteur,59.9,2026-04-05T12:08:49+00:00,True
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,haut parleur,49.9,2026-04-05T12:08:49+00:00,True
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,diagnostique,19.9,2026-04-05T12:08:49+00:00,False
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,désoxydation galaxy a8 2018,79.9,2026-04-05T12:08:49+00:00,False
apple,https://save.co/reparation/apple/iphone-12?shop=DT060,iphone 12,mise à jour logiciel lumia 535,39.9,2026-04-05T12:08:49+00:00,False
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,module afficheur refurb,229.9,2026-04-05T12:09:12+00:00,False
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,batterie,39.9,2026-04-05T12:09:12+00:00,True
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,connecteur de charge,39.9,2026-04-05T12:09:12+00:00,True
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,caméra frontale,39.9,2026-04-05T12:09:12+00:00,False
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,appareil photo arrière,99.9,2026-04-05T12:09:12+00:00,True
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,ecouteur,39.9,2026-04-05T12:09:12+00:00,True
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,haut parleur,49.9,2026-04-05T12:09:12+00:00,True
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,diagnostique,19.9,2026-04-05T12:09:12+00:00,False
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,désoxydation galaxy a8 2018,79.9,2026-04-05T12:09:12+00:00,False
apple,https://save.co/reparation/apple/iphone-12-mini?shop=DT060,iphone 12 mini,mise à jour logiciel lumia 535,39.9,2026-04-05T12:09:12+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,module afficheur,109.9,2026-04-05T12:09:27+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,batterie,69.9,2026-04-05T12:09:27+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,carte secondaire,79.9,2026-04-05T12:09:27+00:00,False
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,ecouteur,39.9,2026-04-05T12:09:27+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,appareil photo avant,49.9,2026-04-05T12:09:27+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,bouton volume,79.9,2026-04-05T12:09:27+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,bouton on/off,79.9,2026-04-05T12:09:27+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,haut parleur,59.9,2026-04-05T12:09:27+00:00,True
apple,https://save.co/reparation/apple/iphone-11-pro-max?shop=DT060,iphone 11 pro max,appareil photo arrière,99.9,2026-04-05T12:09:27+00:00,True
